ID,Latitude,Longitude,Community,Method,StartDay,StartMonth,EndDay,EndMonth,Year,Family,Genus,Species,Sex
RM19-902,NA,NA,Unknown,Blue Vane,30,Jul,9,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-906,NA,NA,Unknown,Blue Vane,30,Jul,9,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-930,51.0889,-114.1494,Varsity,Blue Vane,19,Aug,30,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-1081,51.1105,-114.1486,Dalhousie,Blue Vane,19,Aug,30,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-1103,50.9381,-114.1044,Woodlands,Blue Vane,19,Aug,30,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-1175,51.0654,-114.0362,Renfrew,Blue Vane,19,Aug,30,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-1176,51.0654,-114.0362,Renfrew,Blue Vane,19,Aug,30,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-1198,51.0375,-114.146,Glendale,Blue Vane,19,Aug,30,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-1218,51.1518,-114.122,Hidden Valley,Blue Vane,19,Aug,30,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-1356,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-1423,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Anthophora,terminalis,F
RM19-007,51.0647,-114.1407,Parkdale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-008,51.0647,-114.1407,Parkdale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-016,51.0638,-114.1233,St. Andrews Heights,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-027,51.1234,-114.1773,Ranchlands,Blue Vane,2,Jul,16,Jul,2019,Apidae,Apis,mellifera,F
RM19-044,51.0345,-114.0856,Mount Royal,Blue Vane,4,Jul,18,Jul,2019,Apidae,Apis,mellifera,F
RM19-094,50.9368,-114.0927,Canyon Meadows,Blue Vane,5,Jul,19,Jul,2019,Apidae,Apis,mellifera,F
RM19-099,50.9368,-114.0927,Canyon Meadows,Blue Vane,5,Jul,19,Jul,2019,Apidae,Apis,mellifera,F
RM19-122,50.9112,-114.042,Midnapore,Blue Vane,4,Jul,18,Jul,2019,Apidae,Apis,mellifera,F
RM19-141,51.0649,-114.1399,Parkdale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-142,51.0649,-114.1399,Parkdale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-246,51.0616,-114.1966,West Springs,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-247,51.0616,-114.1966,West Springs,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-248,51.0616,-114.1966,West Springs,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-264,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-285,51.0904,-114.1335,Brentwood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-287,51.0904,-114.1335,Brentwood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-288,51.0904,-114.1335,Brentwood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-293,51.0375,-114.146,Glendale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-294,51.0375,-114.146,Glendale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-296,51.0375,-114.146,Glendale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-297,51.0375,-114.146,Glendale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-298,51.0375,-114.146,Glendale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-317,50.9681,-114.0926,Haysboro,Blue Vane,4,Jul,18,Jul,2019,Apidae,Apis,mellifera,F
RM19-336,51.1207,-114.2264,Scenic Acres,Blue Vane,2,Jul,16,Jul,2019,Apidae,Apis,mellifera,F
RM19-343,51.0355,-114.1211,Killarney,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-359,51.1514,-114.1193,Hidden Valley,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-363,51.1219,-114.1777,Ranchlands,Blue Vane,2,Jul,16,Jul,2019,Apidae,Apis,mellifera,F
RM19-367,51.0991,-114.1228,Charleswood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-371,51.0991,-114.1228,Charleswood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-373,51.0991,-114.1228,Charleswood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-374,51.0991,-114.1228,Charleswood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-375,51.0991,-114.1228,Charleswood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-376,51.0991,-114.1228,Charleswood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Apis,mellifera,F
RM19-381,51.0988,-114.1884,Silver Springs,Blue Vane,2,Jul,16,Jul,2019,Apidae,Apis,mellifera,F
RM19-443,50.9459,-114.0294,Acadia,Blue Vane,31,Jul,7,Aug,2019,Apidae,Apis,mellifera,F
RM19-450,51.0359,-114.162,Glendale,Blue Vane,1,Aug,8,Aug,2019,Apidae,Apis,mellifera,F
RM19-451,51.0359,-114.162,Glendale,Blue Vane,1,Aug,8,Aug,2019,Apidae,Apis,mellifera,F
RM19-497,51.0741,-114.0798,Mount Pleasant,Blue Vane,2,Aug,9,Aug,2019,Apidae,Apis,mellifera,F
RM19-520,51.0957,-114.2045,Bowness,Blue Vane,1,Aug,8,Aug,2019,Apidae,Apis,mellifera,F
RM19-528,51.0957,-114.2045,Bowness,Blue Vane,1,Aug,8,Aug,2019,Apidae,Apis,mellifera,F
RM19-593,51.0401,-114.0965,Sunalta,Blue Vane,2,Aug,9,Aug,2019,Apidae,Apis,mellifera,F
RM19-759,51.1207,-114.2264,Scenic Acres,Blue Vane,30,Jul,6,Aug,2019,Apidae,Apis,mellifera,M
RM19-988,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-989,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-990,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-991,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-992,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-993,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-994,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-995,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-996,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-997,51.0969,-114.1304,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1025,51.0411,-113.9299,Applewood Park,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1026,51.0411,-113.9299,Applewood Park,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1043,51.0548,-114.1595,Wildwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1044,51.0548,-114.1595,Wildwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1045,51.0548,-114.1595,Wildwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1046,51.0548,-114.1595,Wildwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1047,51.0548,-114.1595,Wildwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1048,51.0548,-114.1595,Wildwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1104,50.9381,-114.1044,Woodlands,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1115,51.1207,-114.2264,Scenic Acres,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1116,51.1207,-114.2264,Scenic Acres,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1123,51.0932,-114.1259,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1124,51.0932,-114.1259,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1125,51.0932,-114.1259,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1126,51.0932,-114.1259,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1127,51.0932,-114.1259,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1128,51.0932,-114.1259,Brentwood,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1177,51.0654,-114.0362,Renfrew,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1183,51.0401,-114.0965,Sunalta,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1184,51.0401,-114.0965,Sunalta,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1185,51.0401,-114.0965,Sunalta,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1186,51.0401,-114.0965,Sunalta,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1224,51.1184,-114.1515,Edgemont,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1238,51.0497,-113.9677,Forest Heights,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1341,51.0643,-114.1413,Parkdale,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1343,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1344,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1392,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1393,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1406,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1407,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1424,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-1425,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Apis,mellifera,F
RM19-098,50.9368,-114.0927,Canyon Meadows,Blue Vane,5,Jul,19,Jul,2019,Apidae,Bombus,bifarius,F
RM19-251,51.0715,-114.2154,Cougar Ridge,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,bifarius,F
RM19-360,51.1514,-114.1193,Hidden Valley,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,bifarius,F
RM19-521,51.0957,-114.2045,Bowness,Blue Vane,1,Aug,8,Aug,2019,Apidae,Bombus,bifarius,F
RM19-524,51.0957,-114.2045,Bowness,Blue Vane,1,Aug,8,Aug,2019,Apidae,Bombus,bifarius,F
RM19-723,51.0956,-114.2172,Bowness,Blue Vane,1,Aug,8,Aug,2019,Apidae,Bombus,bifarius,M
RM19-964,51.1514,-114.1193,Hidden Valley,Blue Vane,19,Aug,30,Aug,2019,Apidae,Bombus,bifarius,M
RM19-1029,50.9549,-114.131,Cedarbrae,Blue Vane,19,Aug,30,Aug,2019,Apidae,Bombus,bifarius,F
RM19-1072,51.0302,-114.1078,Bankview,Blue Vane,19,Aug,30,Aug,2019,Apidae,Bombus,bifarius,M
RM19-1417,NA,NA,Unknown,Blue Vane,19,Aug,30,Aug,2019,Apidae,Bombus,bifarius,M
RM19-474,51.1507,-114.2313,Royal Oak,Blue Vane,30,Jul,6,Aug,2019,Apidae,Bombus,bohemicus,F
RM19-356,51.1631,-114.1224,Evanston,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,borealis,F
RM19-424,51.0411,-113.9299,Applewood Park,Blue Vane,2,Aug,9,Aug,2019,Apidae,Bombus,borealis,F
RM19-428,50.8894,-114.0835,Silverado,Blue Vane,31,Jul,7,Aug,2019,Apidae,Bombus,borealis,F
RM19-552,50.9368,-114.0927,Canyon Meadows,Blue Vane,31,Jul,2,Aug,2019,Apidae,Bombus,borealis,F
RM19-1109,51.0988,-114.1884,Silver Springs,Blue Vane,19,Aug,30,Aug,2019,Apidae,Bombus,borealis,M
RM19-1178,51.0654,-114.0362,Renfrew,Blue Vane,19,Aug,30,Aug,2019,Apidae,Bombus,borealis,F
RM19-004,51.0957,-114.2045,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-006,51.0957,-114.2045,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-011,51.0647,-114.1407,Parkdale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-015,51.0638,-114.1233,St. Andrews Heights,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-023,51.1234,-114.1773,Ranchlands,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-039,51.0401,-114.0965,Sunalta,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-042,51.0345,-114.0856,Mount Royal,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,M
RM19-071,51.0114,-114.0691,Parkhill,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-075,51.0114,-114.0691,Parkhill,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-076,51.0114,-114.0691,Parkhill,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-088,50.9368,-114.0927,Canyon Meadows,Blue Vane,5,Jul,19,Jul,2019,Apidae,Bombus,centralis,M
RM19-125,50.9835,-113.9998,Ogden,Blue Vane,5,Jul,19,Jul,2019,Apidae,Bombus,centralis,M
RM19-138,51.0643,-114.1413,Parkdale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-139,51.0649,-114.1399,Parkdale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-143,51.0539,-114.1044,Hillhurst,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-158,50.9381,-114.1044,Woodlands,Blue Vane,5,Jul,19,Jul,2019,Apidae,Bombus,centralis,M
RM19-186,50.9381,-114.1044,Woodlands,Blue Vane,5,Jul,19,Jul,2019,Apidae,Bombus,centralis,F
RM19-243,51.0359,-114.162,Glendale,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,M
RM19-254,51.0618,-114.215,West Springs,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-258,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-259,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-260,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-261,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,M
RM19-262,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-265,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-266,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-267,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-268,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-271,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-273,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-274,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,M
RM19-275,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-276,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,M
RM19-278,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-279,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-280,51.0919,-114.1955,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-282,51.0956,-114.2172,Bowness,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-300,51.0298,-114.1501,Glenbrook,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-301,51.0298,-114.1501,Glenbrook,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-305,51.0548,-114.1595,Wildwood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-341,51.0355,-114.1211,Killarney,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-349,51.1507,-114.2313,Royal Oak,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-352,51.1507,-114.2313,Royal Oak,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-355,51.1631,-114.1224,Evanston,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-357,51.0969,-114.1304,Brentwood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,F
RM19-361,51.1219,-114.1777,Ranchlands,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-362,51.1219,-114.1777,Ranchlands,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-365,51.1219,-114.1777,Ranchlands,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-369,51.0991,-114.1228,Charleswood,Blue Vane,3,Jul,17,Jul,2019,Apidae,Bombus,centralis,M
RM19-377,51.0988,-114.1884,Silver Springs,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-380,51.0988,-114.1884,Silver Springs,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-387,51.1076,-114.1649,Dalhousie,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-388,51.1076,-114.1649,Dalhousie,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-389,51.1076,-114.1649,Dalhousie,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-390,51.1076,-114.1649,Dalhousie,Blue Vane,2,Jul,16,Jul,2019,Apidae,Bombus,centralis,F
RM19-392,51.0711,-114.0907,Capitol Hill,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-393,51.0654,-114.0362,Renfrew,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-397,51.0801,-114.0824,Rosemont,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-398,51.0801,-114.0824,Rosemont,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-401,51.0801,-114.0824,Rosemont,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-402,51.0801,-114.0824,Rosemont,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-403,51.0801,-114.0824,Rosemont,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-405,51.0801,-114.0824,Rosemont,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,M
RM19-406,51.0801,-114.0824,Rosemont,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-410,51.0801,-114.0824,Rosemont,Blue Vane,4,Jul,18,Jul,2019,Apidae,Bombus,centralis,F
RM19-413,51.0638,-114.1233,St. Andrews Heights,Blue Vane,1,Aug,8,Aug,2019,Apidae,Bombus,centralis,M
RM19-417,51.0486,-113.9405,Penbrooke Meadows,Blue Vane,2,Aug,9,Aug,2019,Apidae,Bombus,centralis,M
RM19-419,51.0196,-113.9681,Erin Woods,Blue Vane,2,Aug,9,Aug,2019,Apidae,Bombus,centralis,M
RM19-423,51.0404,-114.0303,Inglewood,Blue Vane,2,Aug,9,Aug,2019,Apidae,Bombus,centralis,M
RM19-426,51.0411,-113.9299,Applewood Park,Blue Vane,2,Aug,9,Aug,2019,Apidae,Bombus,centralis,F
